"station_nbr","date","tmax","tmin","tavg","depart","dewpoint","wetbulb","heat","cool","sunrise","sunset","codesum","snowfall","preciptotal","stnpressure","sealevel","resultspeed","resultdir","avgspeed"
1,2012-01-01,69,45,49,26,51,47,17,1,84,117,"RA FZFG BR",2,7,247,67,38,20,200
2,2012-01-01,64,47,48,48,52,45,18,1,194,16,"RA",2,9,151,66,93,23,34
3,2012-01-01,72,48,52,41,38,42,14,1,213,71,"MO",2,2,246,122,101,31,21
4,2012-01-01,81,62,63,36,42,50,3,1,206,93,"MO",2,2,248,123,82,35,236
6,2012-01-01,81,48,56,32,46,50,9,1,205,93,"MO",2,2,264,122,142,36,59
7,2012-01-01,67,47,49,35,40,41,17,1,209,80,"MO",2,2,184,129,105,32,23
8,2012-01-01,84,60,62,32,49,53,4,1,185,89,"RA BR",2,2,274,70,112,36,30
9,2012-01-01,49,31,32,27,30,28,33,1,193,80,"UP",2,1,203,84,229,30,156
10,2012-01-01,92,69,72,43,72,66,13,1,201,89,"FG+ FG BR",2,2,285,94,53,24,209
11,2012-01-01,91,63,69,39,71,64,46,1,202,88,"FG+ FG BR",2,2,284,93,48,23,202
12,2012-01-01,91,63,69,34,71,65,46,1,203,91,"FG+ FG BR",2,2,284,94,46,25,202
13,2012-01-01,53,30,33,1,25,26,32,1,175,91,"MO",2,2,81,134,27,16,215
14,2012-01-01,67,48,49,37,39,41,17,1,217,80,"MO",2,2,182,127,116,32,34
15,2012-01-01,64,39,43,48,50,44,22,1,196,11,"RA FG+ FZFG BR",2,11,222,64,27,17,192
16,2012-01-01,67,44,47,1,52,47,19,1,201,82,"RA MIFG BR",2,1,249,64,44,21,222
17,2012-01-01,73,52,54,12,37,43,11,1,206,93,"MO",2,2,252,125,56,32,212
18,2012-01-01,76,55,58,36,42,47,8,1,208,83,"MO",2,2,267,124,92,33,243
19,2012-01-01,53,38,38,42,40,36,28,1,201,18,"RA SN BR",7,14,175,54,148,29,77
20,2012-01-01,76,56,58,12,42,47,8,1,199,85,"MO",2,2,247,123,111,33,29
1,2012-01-02,67,45,48,44,40,41,18,1,102,149,"MO",2,3,213,37,100,24,24
2,2012-01-02,62,41,43,44,38,38,22,1,194,17,"MO",1,3,120,37,129,26,54
3,2012-01-02,61,37,41,1,24,33,25,1,213,72,"MO",2,2,258,138,79,32,236
4,2012-01-02,78,51,56,12,40,45,9,1,206,93,"MO",2,2,262,139,39,36,202
6,2012-01-02,78,44,52,26,41,44,14,1,205,93,"MO",2,2,278,138,92,1,247
7,2012-01-02,60,39,41,1,30,34,25,1,201,24,"MO",2,2,192,141,59,34,223
8,2012-01-02,76,50,52,1,43,47,14,1,201,103,"MO",2,2,294,86,64,36,221
9,2012-01-02,35,23,20,1,97,19,45,1,174,117,"SN UP",1,1,236,119,146,32,68
10,2012-01-02,83,60,63,35,48,53,3,1,201,89,"MO",2,2,280,89,104,30,33
11,2012-01-02,81,55,60,1,46,51,6,1,202,89,"MO",2,2,279,89,104,29,32
12,2012-01-02,83,62,64,27,48,53,76,1,206,74,"MO",2,2,278,89,119,30,48
13,2012-01-02,67,28,39,37,30,33,27,1,181,115,"MO",2,2,79,129,63,16,222
14,2012-01-02,61,39,42,1,29,34,23,1,217,80,"MO",2,2,190,140,65,35,228
15,2012-01-02,59,42,42,47,38,38,23,1,196,12,"BR",2,4,189,33,73,24,235
16,2012-01-02,67,44,47,1,40,41,19,1,193,25,"RA",2,3,217,34,98,27,30
17,2012-01-02,61,35,40,1,23,33,26,1,202,84,"MO",2,2,265,141,39,33,202
18,2012-01-02,70,49,51,12,37,42,15,1,208,84,"MO",2,2,280,138,69,35,223
